hqc,source_dir,run,metric,metric_label,us
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_out_malloc,payload-out malloc,538.921
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_inout_malloc,payload-inout malloc,583.938
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,583.676
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,530.447
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,566.891
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,585.872
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,545.411
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,593.39
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,decode_one,decode-one,621.376
256,results/fastrpc_overhead_current_cloud2_chunks/20260530_124222_hqc256,run1,bench,bench batched decode,116.029
